ID|Text|Data
832291995292938242|@joerbsonaraujo @JornalOGlobo @Via @sensacionalista Como não depende, ele vai sair do Planalto diretinho pra insignificância de onde nunca devia ter saído|2022-09-18 18:44:23+00:00
1563933287952908288|Preguiça desse povo que vai lavar privada e servir mesa no estrangeiro e acha que é RICO no Brasil. Consciência de classe é o maior problema do Brasileiro. #LulaNo1oturno|2022-09-18 18:44:24+00:00
1564070101724315649|@_SouJB_22 #BolsonaroNoPrimeiroTurno|2022-09-18 18:44:35+00:00
1434686891635482625|"@taliriapetrone Pois eh neh, tão insignificante e incomoda tanta gente 😅 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:44:46+00:00
1512797530849001479|"Tem que ser no primeiro turno! 
Quero poder torcer pelo Brasil com orgulho.
#LulaNo1oturno"|2022-09-18 18:44:51+00:00
1533415762592944128|"O Bolsonaro em Londres conseguiu reunir mais gente do que o líder das pesquisas em Florianópolis/SC. 
2️⃣2️⃣✅️

#BolsonaroNoPrimeiroTurno22 #PTNuncaMais"|2022-09-18 18:44:52+00:00
1253798918040825856|A falta de informações verdadeiras deixam as pessoas reféns das mentiras o PT . Eu não suporto ler certas coisas aqui no tt, tenho pena dessas pessoas pois elas tem preguiça de checar as informações !!! Bolsonaro vai vencer no primeiro turno! #BolsonaroNoPrimeiroTurno22|2022-09-18 18:45:03+00:00
843293307715424256|@RafaelMelooo15 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:45:09+00:00
1142616614938009600|@AugustoNPistola 🇧🇷 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:45:22+00:00
1104545365334855680|"@gleisi Eu sou mulher e voto no Mito, assim como todas as mulheres de minha família! 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:45:24+00:00
1519066401222365184|@Jouberth19 @jairbolsonaro 2|2022-09-18 18:45:59+00:00
399497626|@LulaOficial Quem não tem povo só resta o choro 😂😂😂 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:46:03+00:00
175130239|@advfproenca @BolsonaroSP Boa! O CASAL INÚTIL, essa daí ano que vem vai ser mais uma EX desse CBOZO 🤣🤣🤣🤣🤣|2022-09-18 18:46:04+00:00
1561368824322088962|"@LulaOficial Quero saber como iria comprar algo que não tinha disponivel para venda me fala ai?
E outra coisa é melhor ele ir ao velório e  falar mal dos outros doque falar mal do Brasil como vc faz!!
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:46:05+00:00
1401013617382858757|"@geraldoalckmin @LulaOficial Lula adora tanto o Agro que financiou invasão de terras por todo país, enquanto assaltava o país e mandava nosso dinheiro pra fora. Lula fomentou o MST. No governo Bolsonaro o Agro cresceu e o MST SUMIU do mapa deixando o país em Paz. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:46:08+00:00
1562885201860395008|"@brittojr Lembrando a vc @Britojunior que o STF proibiu o povo de fazer velório já ia direto para o cemitério e nem os familiares podiam está juntos😤😤😤😤
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:46:14+00:00
1243670875179831303|"@LulaOficial #lulatacomdordecototovelo
🇧🇷🇧🇷🇧🇷🇧🇷 22 #BolsonaroNoPrimeiroTurno22"|2022-09-18 18:46:19+00:00
1468648962135670788|@marciel_sales99 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:46:23+00:00
97097884|@Jouberth19 @jairbolsonaro 1|2022-09-18 18:46:23+00:00
101864304|"@MarceloFreixo Kkkkkk. Fala sério. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:46:33+00:00
1112699618628943872|#BolsonaroNoPrimeiroTurno22|2022-09-18 18:46:47+00:00
325652694|@AbrahaoDilma @kimpaim E o povo foi de graça.|2022-09-18 18:46:50+00:00
2816335815|@requiaooficial Bando de inúteis. Serão varridos nas urnas #BolsonaroNoPrimeiroTurno22|2022-09-18 18:46:55+00:00
93619760|Depois de 2022, dia 2 de outubro deveria ser considerado um feriado nacional conhecido como o dia do Livramento! #LulaNo1oturno|2022-09-18 18:46:58+00:00
783454847790157824|@ozeiascarvalho Sdv patriotas 🫡🇧🇷 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:46:59+00:00
1554520084382683139|@Jouberth19 @jairbolsonaro 1|2022-09-18 18:47:04+00:00
1356058445678596096|"Sou mulher
Professora
Baiana
Filha de Pernambucano com paraibana 
Nordestina
Filha de nordestinos 
Amo meu Nordeste
Amo meu Brasil
Tenho meu voto declarado 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:47:13+00:00
1436153269802479618|"@senadorhumberto Kkkkkkk chora mais jumento!
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:47:16+00:00
184391967|"@RTdaFlaTT @MarceloLins68 Verdade, estamos ganhando votos dos Brasileiros que lá vivem e votam!🇧🇷☝️
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:47:22+00:00
986951290067484673|@ms63107536 Tribufu invejosa, recolha_se a sua insignificancia. #BolsonaroNoPrimeiroTurno22|2022-09-18 18:47:31+00:00
368502257|@AnaFlaviaDelga2 @jeane_carn @77_frota É que eu voto em Ciro. Se eu votar em Lula pra tirar o Bolsonaro estarei votando envergonhado, entende.? Não concordo com o Lula nem com o Bolsonaro.|2022-09-18 18:47:37+00:00
23585798|"@uraniaflores #LulaNoPrigmeiroTurno #EsquerdaSegueEsquerda #LulaPresidente2022 #VamosJuntosPeloBrasil  @LulaOficial @geraldoalckmi @mariadorosario @LeonelRadde @olivio_dutra @EdegarPretto @dilmabr @GuilhermeBoulos
@Nilsonhandebol
#sdvtodos 🇻🇳🇻🇳🇻🇳🇻🇳 Só juntos chegaremos lá 13!"|2022-09-18 18:47:41+00:00
1519459097023815682|@Jouberth19 @jairbolsonaro 1|2022-09-18 18:47:40+00:00
1519459097023815682|@Jouberth19 Sim|2022-09-18 18:48:20+00:00
35859663|@tesoureiros #BolsonaroNoPrimeiroTurno22|2022-09-18 18:48:23+00:00
2816335815|@xicosa Muda o disco. Essa fake não colou #BolsonaroNoPrimeiroTurno22|2022-09-18 18:48:23+00:00
215365425|"@GessInacio @bozo_bot Avante !

Dia 2.

#LulaNo1oturno"|2022-09-18 18:48:30+00:00
24573004|"@sobotelha O choro é livre!🤣🤣🤣🤣
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:48:30+00:00
1012528878122864640|"@lucianenasci @Nilsonhandebol Voto em #LulaNo1oturno 
E estamos juntos nessa corrente"|2022-09-18 18:48:40+00:00
270000896|@somdasaguas @CarlosS08594935 @LilianP53775981 @jairbolsonaro @BolsonaroSP @ospatriotas Dito isso, perde em todos os estados do nordeste kkkkkk|2022-09-18 18:49:01+00:00
1479099124968480768|@requiaooficial Meu presidente é @LulaOficial #LulaNo1oturno|2022-09-18 18:49:19+00:00
528932613|"@jonathanwatts @tomphillipsin Onde nosso presidente vai o povo Brasileiro o reconhece a luta dele contra o progressismo.
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:49:34+00:00
1513191695701192706|"@xicosa #BolsonaroNoPrimeiroTurno22 
Taok?"|2022-09-18 18:49:36+00:00
1410367136606851072|#BolsonaroNoPrimeiroTurno22|2022-09-18 18:49:54+00:00
1479099124968480768|@LulaOficial Meu presidente é @LulaOficial #LulaNo1oturno|2022-09-18 18:49:57+00:00
1566535889265770497|@JulyB_Lucille @LulaOficial 🤣🤣🤣🤣 #PTNuncaMais  #BolsonaroNoPrimeiroTurno22  2️⃣2️⃣🇧🇷🇧🇷|2022-09-18 18:50:23+00:00
203307223|@mariarosa_moura @claudioantoni90 22 Eleito no Primeiro turno!|2022-09-18 18:50:24+00:00
2816335815|@PedroRonchi2 O molusco levava a amante. A Dilma levava o cabeleireiro e se hospedava em hotéis caríssimos. Não enche o saco!!! #BolsonaroNoPrimeiroTurno22|2022-09-18 18:50:38+00:00
